2006d209_20h39m13s_Cont_mike_PKS2155-304.csv
This .csv file was written on, 2006-08-01, 13:48:51
Object, PKS2155-304 

System Data:
Centfreq, 12218.000000 
Bandwdth, 400.000000 
Focus, 7.890625 
Instrume, Total Power 

Calibration Data:
Tcal1, 13.300000 
Tcal2, 15.200000 
Hzperk1, 6292.328374 
Hzperk2, 5764.255743 
Hzkerr1, 0.808053 
Hzkerr2, 0.930089 
Tsys1, 98.062331 
Tsys2, 98.293136 
Tsyserr1, 0.106484 
Tsyserr2, 0.102435 
MJD_cent taken from center of on source scan is, 53944.858216
RA_cent taken from center of on source scan is, 329.823420
RA_mean averaged over center scan is, 329.824423
Dec Apparent 1st scan, -30.164918
Dec Apparent 2nd scan, -30.194786
Dec Apparent 3rd scan, nan
Hour Angle 1st scan, -47.417424
Hour Angle 2nd scan, -46.813748
Hour Angle 3rd scan, -46.206454

RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl
-0.202758,0.061608,0.047727,-0.202539,-0.005962,-0.002169,-0.202976,-0.017886,0.015186
-0.202424,0.091418,0.056405,-0.202204,-0.001987,-0.017355,-0.202642,-0.037759,0.047727
-0.202090,0.085456,0.127995,-0.201870,0.021861,-0.006508,-0.202308,-0.021861,0.026033
-0.201755,0.160975,0.119317,-0.201536,0.001987,-0.058574,-0.201974,-0.005962,0.021694
-0.201421,0.093405,0.149689,-0.201202,-0.025835,-0.032541,-0.201639,-0.011924,0.000000
-0.201087,0.073532,0.036880,-0.200867,-0.011924,0.002169,-0.201305,-0.005962,-0.028202
-0.200753,0.115266,0.099793,-0.200533,0.003975,-0.086776,-0.200971,-0.019873,0.034710
-0.200418,0.057633,0.047727,-0.200199,-0.031797,0.034710,-0.200637,-0.031797,0.004339
-0.200084,0.115266,0.047727,-0.199865,-0.003975,-0.032541,-0.200303,-0.009937,0.010847
-0.199750,0.015899,0.065082,-0.199530,-0.015899,-0.015186,-0.199968,-0.035772,0.002169
-0.199416,0.077506,0.067252,-0.199196,0.017886,-0.097623,-0.199634,-0.037759,0.084607
-0.199081,0.037759,-0.006508,-0.198862,0.003975,-0.043388,-0.199300,-0.029810,-0.034710
-0.198747,0.137127,0.056405,-0.198528,0.007949,-0.058574,-0.198966,-0.039747,0.045557
-0.198414,0.067570,0.069421,-0.198193,-0.015899,-0.078099,-0.198631,0.015899,-0.017355
-0.198079,0.039747,0.067252,-0.197859,-0.007949,-0.069421,-0.198297,-0.007949,0.010847
-0.197745,0.073532,0.062913,-0.197525,0.017886,0.017355,-0.197963,-0.013911,-0.026033
-0.197410,0.079494,0.047727,-0.197191,-0.003975,-0.069421,-0.197629,-0.003975,-0.034710
-0.197076,0.047696,0.023863,-0.196856,-0.009937,-0.134503,-0.197294,0.025835,0.000000
-0.196742,0.055646,0.052066,-0.196522,-0.033785,-0.010847,-0.196960,-0.043722,0.008678
-0.196408,0.051671,0.034710,-0.196188,0.007949,-0.078099,-0.196626,-0.033785,0.034710
-0.196073,0.065582,0.004339,-0.195854,0.007949,-0.028202,-0.196291,-0.041734,0.004339
-0.195739,0.047696,0.041219,-0.195520,-0.033785,-0.058574,-0.196645,-0.025835,-0.004339
-0.195404,0.107316,0.084607,-0.195185,-0.031797,-0.028202,-0.196311,-0.001987,0.030372
-0.195071,0.077506,0.034710,-0.194851,-0.041734,-0.047727,-0.195288,0.027823,-0.039049
-0.194737,0.053658,0.091115,-0.194517,-0.001987,-0.041219,-0.194955,-0.017886,-0.034710
-0.194402,0.079494,0.008678,-0.194182,-0.003975,-0.010847,-0.195308,0.039747,0.019525
-0.194756,0.049684,0.119317,-0.193848,-0.003975,-0.043388,-0.194286,0.009937,0.049896
-0.194422,0.077506,0.082437,-0.193514,-0.023848,-0.071590,-0.193951,-0.027823,0.060743
-0.193400,0.077506,0.078099,-0.193180,-0.007949,-0.093284,-0.194305,-0.009937,0.073760
-0.193753,0.069557,0.073760,-0.192845,-0.027823,-0.071590,-0.193971,-0.019873,-0.006508
-0.193419,0.055646,0.080268,-0.192511,-0.033785,-0.082437,-0.192949,-0.023848,0.088946
-0.193085,0.085456,0.119317,-0.192177,-0.007949,-0.052066,-0.192615,0.001987,0.004339
-0.192750,0.013911,0.049896,-0.191843,-0.043722,-0.049896,-0.192968,-0.017886,0.004339
-0.192416,0.011924,0.041219,-0.191508,-0.011924,-0.021694,-0.192634,-0.049684,0.023863
-0.192082,0.089430,0.036880,-0.191174,-0.091418,-0.049896,-0.192299,0.021861,0.017355
-0.191748,0.077506,0.073760,-0.190840,0.065582,-0.060743,-0.191278,0.017886,-0.019525
-0.191413,0.079494,0.056405,-0.190506,-0.033785,-0.084607,-0.190943,-0.043722,0.039049
-0.191079,0.101354,0.136672,-0.190171,0.007949,-0.019525,-0.190610,0.019873,0.060743
-0.190745,0.051671,0.073760,-0.189837,-0.011924,-0.023863,-0.190275,-0.019873,0.021694
-0.190411,0.053658,0.169214,-0.189503,0.001987,0.002169,-0.189941,-0.017886,-0.026033
-0.190077,0.121228,0.164875,-0.189169,0.003975,0.013016,-0.189606,0.039747,0.043388
-0.189742,0.113278,0.138842,-0.188834,-0.045709,-0.043388,-0.189272,0.027823,0.041219
-0.188721,0.067570,0.097623,-0.188500,-0.015899,-0.041219,-0.188938,0.043722,0.013016
-0.188386,0.115266,0.141011,-0.188166,-0.021861,-0.030372,-0.188604,0.007949,0.075929
-0.188052,0.081481,0.110640,-0.187832,0.003975,-0.032541,-0.187582,0.003975,0.034710
-0.187718,0.095392,0.086776,-0.187497,-0.005962,-0.026033,-0.187248,0.019873,0.017355
-0.187384,0.093405,0.099793,-0.187163,-0.017886,-0.080268,-0.186913,0.075519,0.052066
-0.187050,0.067570,0.104131,-0.186829,0.007949,-0.080268,-0.186578,0.029810,-0.019525
-0.186715,0.049684,0.130164,-0.186495,-0.045709,-0.080268,-0.186245,0.025835,0.004339
-0.186381,0.101354,0.041219,-0.186848,0.025835,-0.013016,-0.185911,0.013911,0.034710
-0.186047,0.041734,0.043388,-0.186514,-0.025835,-0.075929,-0.185576,-0.003975,0.004339
-0.185713,0.059620,0.088946,-0.186179,-0.005962,-0.021694,-0.185241,-0.011924,0.058574
-0.185379,0.131165,0.045557,-0.185845,0.061608,-0.043388,-0.184908,-0.005962,0.023863
-0.185044,0.103342,0.054235,-0.185511,0.003975,-0.017355,-0.184574,0.049684,-0.026033
-0.184023,0.147063,0.060743,-0.185177,0.011924,0.028202,-0.184239,0.019873,-0.006508
-0.183688,0.157000,0.097623,-0.184842,-0.009937,-0.082437,-0.184593,0.045709,0.010847
-0.183354,0.035772,0.132334,-0.184508,0.045709,-0.015186,-0.183571,0.049684,0.045557
-0.183020,0.087443,0.114978,-0.184174,-0.007949,-0.032541,-0.183237,0.019873,0.006508
-0.182686,0.135139,0.101962,-0.183840,0.041734,-0.071590,-0.182902,0.037759,-0.023863
-0.182352,0.093405,0.101962,-0.183505,0.015899,0.013016,-0.182568,0.041734,0.036880
-0.182017,0.077506,0.104131,-0.183171,0.069557,-0.034710,-0.182234,0.037759,-0.047727
-0.181684,0.093405,0.084607,-0.182838,-0.007949,-0.058574,-0.181900,0.017886,0.039049
-0.181349,0.105329,0.054235,-0.182503,0.005962,-0.002169,-0.181566,0.017886,0.000000
-0.181015,0.119240,0.119317,-0.182168,0.021861,-0.069421,-0.181231,0.015899,0.034710
-0.180681,0.145076,0.095454,-0.181834,-0.067570,-0.067252,-0.180897,0.033785,-0.015186
-0.180347,0.172899,0.084607,-0.181501,0.065582,-0.026033,-0.180563,0.031797,0.034710
-0.180012,0.033785,0.106301,-0.180479,-0.003975,-0.032541,-0.180229,0.035772,0.095454
-0.179678,0.097380,0.117148,-0.180144,-0.031797,-0.043388,-0.180582,0.003975,0.006508
-0.179344,0.113278,0.127995,-0.179810,0.001987,-0.062913,-0.179560,-0.013911,0.086776
-0.179010,0.073532,0.099793,-0.179476,-0.021861,-0.023863,-0.179226,0.017886,0.058574
-0.178675,0.091418,0.086776,-0.179142,0.015899,-0.017355,-0.178892,0.041734,0.086776
-0.178341,0.083468,0.084607,-0.178808,0.005962,-0.045557,-0.178557,-0.013911,0.006508
-0.178007,0.109304,0.095454,-0.178473,-0.011924,-0.041219,-0.178223,-0.003975,0.056405
-0.177673,0.121228,0.086776,-0.178139,-0.005962,-0.006508,-0.177889,0.017886,-0.002169
-0.177338,0.139114,0.106301,-0.177805,-0.001987,0.021694,-0.177555,0.001987,0.039049
-0.177004,0.121228,0.121487,-0.176783,0.009937,-0.019525,-0.177221,0.023848,0.052066
-0.176671,0.137127,0.078099,-0.176449,0.017886,-0.086776,-0.176886,-0.000000,0.028202
-0.176336,0.091418,0.086776,-0.176114,-0.003975,-0.010847,-0.176552,0.029810,0.034710
-0.176002,0.133152,0.039049,-0.175780,0.013911,-0.019525,-0.176218,0.015899,0.043388
-0.175667,0.107316,0.112809,-0.175446,0.015899,-0.082437,-0.176571,0.005962,0.008678
-0.175334,0.111291,0.117148,-0.175111,-0.001987,-0.078099,-0.175549,-0.041734,-0.006508
-0.175000,0.139114,0.162705,-0.174777,0.043722,-0.002169,-0.175215,0.009937,0.091115
-0.174665,0.157000,0.136672,-0.174443,-0.013911,-0.067252,-0.174881,0.027823,0.088946
-0.174331,0.151038,0.149689,-0.174109,0.023848,0.002169,-0.175234,-0.037759,0.101962
-0.173997,0.135139,0.149689,-0.173775,0.027823,-0.052066,-0.174212,0.035772,0.065082
-0.173663,0.121228,0.099793,-0.173440,-0.021861,-0.069421,-0.173878,0.023848,0.043388
-0.173328,0.145076,0.149689,-0.173106,-0.001987,0.010847,-0.174232,-0.009937,0.041219
-0.172994,0.135139,0.127995,-0.172772,-0.007949,-0.052066,-0.173897,-0.057633,0.058574
-0.172660,0.129177,0.127995,-0.172438,-0.013911,-0.043388,-0.172875,0.013911,0.045557
-0.172325,0.151038,0.169214,-0.172103,0.019873,-0.006508,-0.172541,-0.011924,0.056405
-0.171991,0.119240,0.188738,-0.171769,-0.003975,0.052066,-0.172895,-0.005962,0.067252
-0.171658,0.105329,0.106301,-0.171434,-0.015899,0.002169,-0.172560,0.025835,0.078099
-0.171323,0.137127,0.134503,-0.171101,-0.013911,-0.073760,-0.172226,0.005962,0.086776
-0.170989,0.162962,0.132334,-0.170766,0.047696,-0.023863,-0.171892,-0.033785,0.028202
-0.170654,0.143089,0.125825,-0.170432,0.065582,0.034710,-0.171558,0.019873,0.086776
-0.170321,0.095392,0.119317,-0.170098,-0.045709,0.073760,-0.171223,-0.003975,0.104131
-0.169987,0.129177,0.095454,-0.169764,-0.023848,0.006508,-0.170889,0.019873,0.071590
-0.169652,0.155013,0.186569,-0.169429,-0.023848,0.013016,-0.170555,-0.031797,0.093284
-0.169318,0.131165,0.175722,-0.169095,-0.017886,-0.002169,-0.170221,0.051671,0.104131
-0.168984,0.095392,0.154028,-0.168760,0.051671,0.008678,-0.169887,-0.009937,0.078099
-0.168650,0.166937,0.134503,-0.168427,0.011924,0.023863,-0.169552,0.009937,0.145350
-0.168315,0.079494,0.151858,-0.168092,-0.017886,0.069421,-0.169218,-0.001987,0.071590
-0.168669,0.158987,0.177891,-0.167758,0.039747,0.002169,-0.168884,-0.007949,0.065082
-0.167647,0.129177,0.130164,-0.167423,-0.005962,-0.039049,-0.168550,0.015899,0.151858
-0.167312,0.099367,0.173552,-0.167089,0.027823,0.008678,-0.168215,-0.001987,0.099793
-0.166978,0.155013,0.149689,-0.166755,0.059620,-0.026033,-0.167881,0.021861,0.084607
-0.167332,0.153025,0.099793,-0.166421,-0.009937,-0.006508,-0.167547,0.033785,0.065082
-0.166310,0.111291,0.145350,-0.166086,-0.021861,0.000000,-0.167213,0.031797,0.121487
-0.165975,0.123215,0.177891,-0.165752,-0.025835,-0.019525,-0.166878,-0.035772,0.086776
-0.166329,0.153025,0.190908,-0.165418,0.035772,-0.015186,-0.166544,0.005962,0.069421
-0.165307,0.133152,0.138842,-0.165083,0.007949,0.008678,-0.166211,0.041734,0.084607
-0.164973,0.105329,0.169214,-0.164749,0.011924,0.004339,-0.165876,0.027823,0.084607
-0.165326,0.139114,0.201755,-0.164415,0.023848,-0.004339,-0.165541,0.019873,0.041219
-0.164992,0.153025,0.143181,-0.164081,0.055646,0.058574,-0.165207,0.057633,0.071590
-0.163971,0.151038,0.145350,-0.163747,0.051671,0.036880,-0.164874,0.000000,0.127995
-0.163636,0.097380,0.180061,-0.163412,0.049684,-0.008678,-0.164539,0.089430,0.088946
-0.163989,0.111291,0.101962,-0.163078,0.017886,0.045557,-0.164205,0.051671,0.067252
-0.163655,0.109304,0.173552,-0.162744,-0.023848,0.091115,-0.163870,0.021861,0.058574
-0.162634,0.119240,0.184399,-0.162410,0.003975,0.056405,-0.163537,0.021861,0.097623
-0.162986,0.133152,0.149689,-0.162075,-0.041734,-0.008678,-0.163202,0.033785,0.062913
-0.162652,0.105329,0.141011,-0.161741,-0.041734,0.045557,-0.162868,0.035772,0.084607
-0.162318,0.172899,0.216940,-0.161407,0.007949,-0.021694,-0.162534,0.009937,0.108470
