2006d208_11h08m04s_Cont_sarah_HYDRA_A.csv
This .csv file was written on, 2007-10-03, 10:23:24
Object, HYDRA A 

-0.557826,0.076090,0.048066
-0.557492,0.052964,0.069915
-0.557158,0.016412,0.107057
-0.556824,-0.105929,0.081931
-0.556490,0.046251,0.062268
-0.556155,0.056694,-0.053528
-0.555821,-0.096231,0.010924
-0.555487,-0.059678,-0.096133
-0.555153,-0.085787,0.041512
-0.554818,-0.000746,0.051344
-0.554484,-0.082804,0.020756
-0.554150,-0.096231,-0.013109
-0.553816,-0.032823,0.019663
-0.553481,0.014174,0.164955
-0.553147,-0.003730,-0.000000
-0.552813,-0.012682,0.068822
-0.552479,-0.030585,0.051344
-0.552144,-0.035061,0.062268
-0.551810,-0.017157,0.039327
-0.551476,-0.030585,0.056806
-0.551142,-0.019395,0.080839
-0.550808,-0.062662,0.012017
-0.550473,0.070122,0.156216
-0.550139,-0.035061,0.237054
-0.549805,-0.054456,0.080839
-0.549471,-0.029839,0.049159
-0.549137,0.013428,0.038235
-0.548802,0.016412,0.117981
-0.548468,0.030585,0.048066
-0.548134,-0.033569,0.099410
-0.547800,-0.030585,0.092855
-0.547465,-0.032823,-0.027310
-0.547131,-0.025363,0.032772
-0.546797,-0.012682,-0.009832
-0.546463,0.063408,0.084116
-0.546128,0.002984,-0.015294
-0.545794,-0.061170,0.018571
-0.546147,-0.105929,-0.006554
-0.545126,-0.064900,-0.096133
-0.544791,-0.120102,0.010924
-0.544457,-0.061916,0.051344
-0.544810,-0.061170,0.077562
-0.544476,0.008206,0.015294
-0.544142,0.098469,0.044789
-0.543808,0.005968,0.073192
-0.543474,-0.055948,0.018571
-0.543139,-0.066392,0.048066
-0.542805,0.047743,0.044789
-0.542471,-0.077582,0.124535
-0.542137,0.076090,-0.057898
-0.541802,0.035807,0.001092
-0.541468,-0.033569,0.041512
-0.541134,-0.049235,0.207559
-0.540112,0.028347,0.072099
-0.539778,0.023125,0.056806
-0.539444,0.032077,0.015294
-0.539110,0.015666,0.044789
-0.538776,0.044013,0.152938
-0.538441,-0.088771,0.080839
-0.538107,-0.052964,0.028403
-0.537773,0.017903,0.040419
-0.537439,-0.019395,0.016386
-0.537104,-0.024617,-0.026218
-0.536770,0.033569,-0.076469
-0.536436,0.012682,0.014201
-0.536102,-0.016412,0.032772
-0.535080,0.014174,0.033865
-0.534746,-0.043267,-0.038235
-0.534412,0.000746,0.027310
-0.534078,-0.044013,0.100502
-0.533743,-0.055202,0.074284
-0.533409,-0.015666,0.029495
-0.533075,0.073852,0.140922
-0.532741,0.007460,0.095040
-0.532406,0.020887,0.116889
-0.532072,-0.091755,0.123443
-0.531738,-0.014920,0.024033
-0.531404,-0.020887,0.096133
-0.531069,0.006714,0.115796
-0.530735,0.093247,0.043697
