"2006d222_05h46m53s_Cont_mike_3C123.csv",,,,
"This .csv file was written on",07/08/14,09:51:47,,
"Object"," 3C123 ",,,
,,,,
-0.453381,-0.025,0.058,174,0.000334
-0.453047,0.027,0.145,175,0.000334
-0.452713,-0.046,0.065,176,0.000334
-0.452379,-0.022,0.041,177,0.000329
-0.452050,0.014,0.053,178,0.000338
-0.451712,0.004,-0.046,179,0.000334
-0.451378,0.093,0.079,180,0.000334
-0.451044,0.031,0.037,181,0.000330
-0.450714,-0.034,-0.028,182,0.000338
-0.450376,-0.024,0.013,183,0.000334
-0.450042,-0.046,0.055,184,0.000333
-0.449709,-0.032,0.089,185,0.000330
-0.449379,-0.044,-0.002,186,0.000338
-0.449041,-0.056,-0.041,187,0.000334
-0.448707,-0.051,0.002,188,0.000334
-0.448373,-0.046,-0.013,189,0.000329
-0.448044,-0.002,0.055,190,0.000339
-0.447705,-0.02,0.023,191,0.000334
-0.447371,-0.054,0.071,192,0.000333
-0.447038,-0.041,0.057,193,0.000330
-0.446708,-0.047,0.054,194,0.000334
-0.446374,-0.05,-0.024,195,0.000338
-0.446036,-0.056,0.127,196,0.000334
-0.445702,-0.047,0.062,197,0.000329
-0.445373,-0.077,0.037,198,0.000334
-0.445039,0.006,0.03,199,0.000338
-0.444701,-0.1,0.097,200,0.000334
-0.444367,-0.058,0.138,201,0.000330
-0.444037,-0.04,0.008,202,0.000334
-0.443703,-0.001,-0.011,203,-0.000348
-0.444051,-0.015,-0.009,204,0.000333
-0.443718,-0.017,-0.029,205,0.000330
-0.443388,0.018,0.171,206,0.000334
-0.443054,-0.055,0.054,207,0.000338
-0.442716,-0.045,0.065,208,0.000334
-0.442382,-0.037,0.049,209,0.000329
-0.442053,-0.031,-0.002,210,0.000334
-0.441719,-0.013,0.038,211,0.000338
-0.441381,-0.06,-0.082,212,0.000334
-0.441047,-0.046,-0.085,213,0.000330
-0.440717,-0.072,-0.07,214,0.000334
-0.440383,-0.053,-0.058,215,0.000338
-0.440045,0.089,-0.043,216,0.000334
-0.439711,0.017,-0.052,217,0.000329
-0.439382,-0.105,-0.089,218,0.000334
-0.439048,0.003,-0.098,219,0.001025
-0.438023,-0.055,-0.066,220,0.000333
-0.437690,-0.089,0.014,221,0.000330
-0.437360,-0.025,0.054,222,0.000334
-0.437026,-0.093,0.062,223,0.000338
-0.436688,-0.083,0.026,224,0.000334
-0.436354,-0.033,0.04,225,0.000329
-0.436025,0.007,-0.078,226,0.000339
-0.435686,0.04,0.082,227,0.000333
-0.435353,0.01,-0.039,228,0.000334
-0.435019,0.024,-0.059,229,0.001020
-0.433999,0.016,-0.027,230,0.000334
-0.433665,0.03,-0.034,231,0.000334
-0.433331,0.012,-0.025,232,0.000334
-0.432997,-0.021,0.012,233,0.000334
-0.432663,-0.044,-0.053,234,0.000334
-0.432329,-0.049,0.008,235,0.000338
-0.431991,-0.083,-0.026,236,0.000334
-0.431657,0.006,0.054,237,0.000329
-0.431328,-0.021,0.008,238,0.000334
-0.430994,0.004,-0.031,239,0.000339
-0.430655,0.024,-0.012,240,0.000333
-0.430322,-0.001,-0.006,241,0.000330
-0.429992,0.16,0.079,242,0.000334
-0.429658,0.148,0.169,243,0.000338
-0.429320,0.077,0.057,244,0.000334
-0.428986,0.08,0.037,245,0.000329
-0.428657,0.046,0.087,246,0.000334
-0.428323,-0.023,0.041,247,0.000338
-0.427985,-0.016,0.142,248,0.000334
-0.427651,-0.016,-0.021,249,0.000330
-0.427321,-0.076,-0.038,250,0.000333
-0.426988,-0.064,-0.031,251,0.000339
-0.426649,-0.048,-0.008,252,0.000334
-0.426315,-0.018,0.016,253,0.000329
-0.425986,-0.035,-0.015,254,0.000334
-0.425652,-0.037,0.012,255,0.000334
-0.425318,-0.054,-0.007,256,0.000338
-0.424980,-0.057,-0.033,257,0.000329
-0.424651,-0.019,0.094,258,0.000334
-0.424317,-0.038,0.006,259,0.000334
-0.423983,-0.052,-0.019,260,0.000338
-0.423645,0.053,0.013,261,0.000330
-0.423315,0.026,0.021,262,0.000334
-0.422981,0.111,0.153,263,0.000334
-0.422647,0.037,0.015,264,0.000338
-0.422309,-0.047,0.11,265,0.000329
-0.421980,-0.014,0.094,266,0.000330
-0.421650,-0.036,0.045,267,0.000338
-0.421312,-0.029,0.061,268,0.000334
-0.420978,-0.004,0.082,269,0.000334
-0.420644,-0.055,-0.025,270,0.000329
-0.420315,-0.029,-0.009,271,0.000339
-0.419976,-0.054,0.029,272,0.000333
-0.419643,0.022,-0.032,273,0.000334
-0.419309,-0.002,0.031,274,0.000330
-0.418979,0.059,-0.026,275,0.000338
-0.418641,0.014,-0.036,276,0.000334
-0.418307,0.019,-0.091,277,0.000334
-0.417973,-0.053,-0.1,278,0.000329
-0.417644,-0.007,-0.028,279,0.000338
-0.417306,-0.007,-0.039,280,0.000334
-0.416972,-0.033,-0.042,281,0.000334
-0.416638,-0.03,-0.052,282,0.000329
-0.416309,0.025,0.005,283,0.000334
-0.415975,0.065,0.086,284,0.000339
-0.415636,0.03,0.04,285,0.000334
-0.415302,0.016,0.03,286,0.000329
-0.414973,-0.008,0.06,287,0.000334
-0.414639,-0.021,0.085,288,0.000338
-0.414301,0.052,0.161,289,0.000334
-0.413967,0.003,0.097,290,0.000330
-0.413637,0,0.079,291,0.000333
-0.413304,-0.012,0.101,292,-0.000348
-0.413652,-0.019,0.146,293,0.000334
-0.413318,0.033,0.095,294,0.000330
-0.412988,-0.008,0.049,295,0.001020
-0.411968,0.01,0.175,296,-0.000348
-0.412316,0.008,0.029,297,0.000334
-0.411982,0.03,0.05,298,0.000329
-0.411653,-0.003,0.137,299,0.000334
-0.411319,0.05,0.201,300,0.000338
-0.410981,0.016,0.039,301,0.000334
-0.410647,0.016,0,302,0.000330
-0.410317,0.029,0.035,303,0.000333
-0.409984,0.073,0,304,0.000339
-0.409645,0.07,0.109,305,0.000334
-0.409311,0.085,0.033,306,0.000329
-0.408982,0.071,0.098,307,0.000334
-0.408648,0.06,0.032,308,0.000338
-0.408310,0.07,0.125,309,0.000334
-0.407976,0.09,0.158,310,0.000329
-0.407647,0.086,0.075,311,0.000334
-0.407313,0.049,0.042,312,0.000339
-0.406974,0.069,0.089,313,0.000333
-0.406641,0.035,0.087,314,0.000334
-0.406307,0.074,0.22,315,0.000334
-0.405973,0.029,0.148,316,0.000334
-0.405639,0.075,0.136,317,0.000334
-0.405305,0.044,-0.016,318,0.000334
-0.404971,-0.006,0.043,319,0.000334
-0.404637,0.086,0.085,320,0.000338
-0.404299,0.024,0.165,321,0.000334
-0.403965,0.01,0.126,322,0.000329
-0.403636,0.007,0.154,323,0.000334
-0.403302,0.062,0.152,324,0.000338
-0.402964,0.008,0.122,325,0.000334
-0.402630,0.043,0.173,326,0.000330
-0.402300,0.03,0.09,327,0.000333
-0.401967,0.008,0.054,328,0.000339
-0.401628,0.007,0.024,329,0.000334
-0.401294,0,0.08,330,0.000329
-0.400965,0.027,0.168,331,0.000334
-0.400631,0.021,0.136,332,0.000338
-0.400293,0.015,0.12,333,0.000334
-0.399959,-0.001,0.158,334,0.000330
-0.399629,0,0.172,335,0.000333
-0.399296,0.025,0.275,336,0.000334
-0.398962,0.042,0.162,337,0.000339
-0.398623,0.058,0.212,338,0.000329
-0.398294,0.003,0.171,339,0.000334
-0.397960,0.036,0.116,340,0.000334
-0.397626,0.023,0.274,341,0.000334
-0.397292,0.027,0.141,342,0.000333
-0.396959,0.016,0.1,343,0.000334
-0.396625,0.008,0.149,344,0.000334
-0.396291,0.013,0.146,345,0.000334
-0.395957,0.03,0.199,346,0.000334
-0.395623,-0.008,0.146,347,0.000334
-0.395289,0.008,0.125,348,0.000334
-0.394955,0.073,0.131,349,0.000333
-0.394622,0.078,0.146,350,0.000334
-0.394288,0.122,0.158,351,0.000330
-0.393958,0.141,0.193,352,0.000338
-0.393620,0.106,0.003,353,0.000334
-0.393286,0.136,0.005,354,0.000334
-0.392952,0.117,0.014,355,0.000329
-0.392623,0.12,-0.006,356,0.000338
-0.392285,0.104,0.185,357,0.000334
-0.391951,0.082,0.082,358,0.000334
-0.391617,0.083,0.111,359,0.000330
-0.391287,0.103,0.114,360,0.000333
-0.390954,0.062,0.105,361,0.000339
-0.390615,0.117,0.259,362,0.000329
-0.390286,0.052,0.137,363,0.000334
-0.389952,0.048,0.17,364,0.000334
-0.389618,0.041,0.163,365,0.000338
-0.389280,0.082,0.184,366,0.000330
-0.388950,0.142,0.255,367,0.000333
-0.388617,0.051,0.156,368,0.000334
-0.388283,0.108,0.25,369,0.000339
-0.387944,0.163,0.233,370,0.000329
-0.387615,0.158,0.257,371,0.000334
-0.387281,0.109,0.317,372,0.000334
-0.386947,0.082,0.282,373,0.000338
-0.386609,0.016,0.163,374,0.000329
-0.386280,0.024,0.124,375,0.000334
-0.385946,0.053,0.116,376,0.000334
-0.385612,0.117,0.119,377,0.000338
-0.385274,0.126,0.149,378,0.000330
-0.384944,0.109,0.107,379,0.000334
-0.384610,0.126,0.042,380,0.000334
-0.384276,-0.014,0.067,381,0.000338
-0.383938,-0.014,0.062,382,0.000329
-0.383609,0.042,0.192,383,0.000334
-0.383275,0.056,0.102,384,0.000334
-0.382941,0.037,0.128,385,0.000338
-0.382603,0.061,0.141,386,-0.000352
-0.382955,0.049,0.106,387,0.001016
-0.381939,0.143,0.263,388,-0.000353
-0.382292,0.055,0.091,389,0.001025
-0.381267,0.081,0.198,390,-0.000353
-0.381620,0.077,0.194,391,0.000330
-0.381290,0.061,0.18,392,0.000334
-0.380956,0.118,0.222,393,0.001024
-0.379932,0.083,0.198,394,-0.000352
-0.380284,0.113,0.196,395,0.000329
-0.379955,0.158,0.205,396,0.000334
-0.379621,0.126,0.173,397,0.000338
-0.379283,0.13,0.211,398,0.000334
-0.378949,0.115,0.201,399,0.000330
-0.378619,0.075,0.141,400,0.000334
-0.378285,0.138,0.116,401,0.001024
-0.377261,0.12,0.165,402,0.000334
-0.376927,0.118,0.205,403,0.000334
-0.376593,0.122,0.22,404,0.000334
-0.376259,0.138,0.181,405,0.000338
-0.375921,0.16,0.165,406,0.000334
-0.375587,0.191,0.199,407,0.000329
-0.375258,0.241,0.195,408,0.000334
-0.374924,0.28,0.324,409,0.000338
-0.374586,0.21,0.203,410,0.000334
-0.374252,0.119,0.205,411,0.000330
-0.373922,0.119,0.185,412,0.001020
-0.372902,0.116,0.214,413,0.000338
-0.372564,0.092,0.174,414,0.000334
-0.372230,0.051,0.128,415,0.000329
-0.371901,0.062,0.226,416,0.000334
-0.371567,0.064,0.214,417,0.000334
-0.371233,0.06,0.233,418,0.000338
-0.370895,0.077,0.291,419,0.000330
-0.370565,0.129,0.275,420,0.000334
-0.370231,0.153,0.146,421,0.000334
-0.369897,0.161,0.211,422,0.000338
-0.369559,0.217,0.169,423,0.000329
-0.369230,0.228,0.215,424,0.000334
-0.368896,0.188,0.218,425,0.000334
-0.368562,0.12,0.199,426,0.000338
-0.368224,0.145,0.178,427,0.000330
-0.367894,0.124,0.201,428,0.000334
-0.367560,0.143,0.194,429,0.000333
-0.367227,0.186,0.226,430,0.000334
-0.366893,0.221,0.148,431,0.000334
-0.366559,0.207,0.108,432,0.000330
-0.366229,0.193,0.143,433,0.000338
-0.365891,0.226,0.145,434,0.000334
-0.365557,0.224,0.279,435,0.000334
-0.365223,0.178,0.289,436,0.000329
-0.364894,0.224,0.286,437,0.000338
-0.364556,0.215,0.298,438,0.000334
-0.364222,0.196,0.226,439,0.000334
-0.363888,0.248,0.324,440,0.000329
-0.363559,0.189,0.24,441,0.000339
-0.363220,0.149,0.236,442,0.000334
-0.362886,0.17,0.278,443,0.000334
-0.362552,0.238,0.274,444,0.000329
-0.362223,0.299,0.288,445,0.000338
-0.361885,0.258,0.212,446,0.000334
-0.361551,0.249,0.194,447,0.000334
-0.361217,0.231,0.156,448,0.000329
-0.360888,0.181,0.145,449,0.000334
-0.360554,0.212,0.247,450,0.000338
-0.360216,0.174,0.176,451,0.000334
-0.359882,0.161,0.155,452,0.000330
-0.359552,0.171,0.244,453,0.000334
-0.359218,0.125,0.234,454,0.000338
-0.358880,0.229,0.313,455,0.000334
-0.358546,0.203,0.339,456,0.000329
-0.358217,0.16,0.292,457,0.000334
-0.357883,0.148,0.203,458,0.000338
-0.357545,0.18,0.249,459,0.000334
-0.357211,0.119,0.262,460,0.000330
-0.356881,0.229,0.308,461,0.000334
-0.356547,0.249,0.29,462,0.000338
-0.356209,0.252,0.306,463,0.000334
-0.355875,0.26,0.306,464,0.000329
-0.355546,0.236,0.315,465,0.000334
-0.355212,0.281,0.423,466,0.000338
-0.354874,0.209,0.35,467,0.000334
-0.354540,0.237,0.395,468,0.000330
-0.354210,0.223,0.372,469,0.000333
-0.353877,0.217,0.386,470,0.000339
-0.353538,0.278,0.278,471,0.000334
-0.353204,0.263,0.227,472,0.000329
-0.352875,0.226,0.213,473,0.000334
-0.352541,0.207,0.098,474,0.000338
-0.352203,0.242,0.248,475,0.000334
-0.351869,0.216,0.354,476,0.000329
-0.351540,0.188,0.229,477,0.000334
-0.351206,0.211,0.226,478,0.000339
-0.350867,0.325,0.245,479,0.000333
-0.350534,0.294,0.262,480,-0.000356
-0.350890,0.309,0.284,481,0.001020
-0.349870,0.278,0.269,482,-0.000348
-0.350218,0.249,0.255,483,0.000334
-0.349884,0.246,0.289,484,0.000333
-0.349551,0.249,0.294,485,0.000334
-0.349217,0.232,0.326,486,0.000334
-0.348883,0.309,0.482,487,0.000339
-0.348544,0.27,0.343,488,0.000329
-0.348215,0.243,0.488,489,0.000334
-0.347881,0.221,0.46,490,0.000334
-0.347547,0.264,0.388,491,0.000338
-0.347209,0.225,0.416,492,0.000329
-0.346880,0.189,0.399,493,0.000334
-0.346546,0.183,0.397,494,0.000334
-0.346212,0.262,0.401,495,0.000338
-0.345874,0.253,0.405,496,0.000330
-0.345544,0.263,0.472,497,0.000334
-0.345210,0.263,0.428,498,0.000334
-0.344876,0.277,0.335,499,0.000338
-0.344538,0.252,0.346,500,0.000329
-0.344209,0.223,0.259,501,0.000334
-0.343875,0.243,0.319,502,0.000334
-0.343541,0.227,0.272,503,0.000338
-0.343203,0.249,0.256,504,0.000330
-0.342873,0.225,0.258,505,0.000329
-0.342544,0.214,0.274,506,0.000338
-0.342206,0.357,0.419,507,0.000334
-0.341872,0.321,0.449,508,0.000334
-0.341538,0.294,0.357,509,0.000330
-0.341208,0.172,0.357,510,0.000338
-0.340870,0.195,0.355,511,0.000334
-0.340536,0.187,0.316,512,0.000334
-0.340202,0.306,0.438,513,0.000329
-0.339873,0.274,0.387,514,0.000338
-0.339535,0.233,0.346,515,0.000334
-0.339201,0.307,0.419,516,0.000334
-0.338867,0.365,0.446,517,0.000329
-0.338538,0.318,0.534,518,0.000334
-0.338204,0.275,0.426,519,0.000339
-0.337865,0.261,0.384,520,0.000333
-0.337532,0.286,0.367,521,0.000330
-0.337202,0.292,0.337,522,0.000334
-0.336868,0.317,0.419,523,0.000338
-0.336530,0.318,0.339,524,0.000334
-0.336196,0.366,0.305,525,0.000329
-0.335867,0.343,0.354,526,0.000334
-0.335533,0.332,0.347,527,0.000338
-0.335195,0.327,0.483,528,0.000334
-0.334861,0.343,0.479,529,0.000330
-0.334531,0.327,0.491,530,0.000334
-0.334197,0.405,0.498,531,0.000338
-0.333859,0.373,0.498,532,0.000334
-0.333525,0.417,0.516,533,0.000329
-0.333196,0.36,0.494,534,0.000334
-0.332862,0.291,0.425,535,0.000338
-0.332524,0.306,0.43,536,0.000334
-0.332190,0.36,0.438,537,0.000330
-0.331860,0.376,0.416,538,0.000334
-0.331526,0.486,0.549,539,0.000338
-0.331188,0.474,0.439,540,0.000334
-0.330854,0.458,0.485,541,0.000329
-0.330525,0.407,0.439,542,0.000334
-0.330191,0.402,0.421,543,0.000338
-0.329853,0.439,0.515,544,0.000334
-0.329519,0.358,0.568,545,0.000329
-0.329190,0.349,0.456,546,0.000334
-0.328856,0.361,0.449,547,0.000339
-0.328517,0.352,0.465,548,0.000334
-0.328183,0.352,0.576,549,0.000329
-0.327854,0.358,0.482,550,0.000334
-0.327520,0.347,0.512,551,0.000338
-0.327182,0.352,0.473,552,0.000334
-0.326848,0.33,0.52,553,0.000329
-0.326519,0.384,0.596,554,0.000334
-0.326185,0.328,0.564,555,0.000339
-0.325846,0.366,0.535,556,0.000333
-0.325513,0.387,0.528,557,0.000330
-0.325183,0.364,0.514,558,0.000334
-0.324849,0.47,0.573,559,0.000338
-0.324511,0.429,0.493,560,0.000334
-0.324177,0.462,0.359,561,0.000334
-0.323843,0.386,0.399,562,0.000329
-0.323514,0.407,0.57,563,0.000339
-0.323175,0.386,0.489,564,0.000338
-0.322837,0.474,0.607,565,0.000329
-0.322508,0.369,0.521,566,0.000334
-0.322174,0.411,0.523,567,0.000334
-0.321840,0.368,0.524,568,0.000338
-0.321502,0.384,0.503,569,0.000330
-0.321172,0.44,0.555,570,0.000334
-0.320838,0.406,0.466,571,0.000333
-0.320505,0.306,0.462,572,0.000339
-0.320166,0.307,0.456,573,0.000329
-0.319837,0.353,0.475,574,0.000329
-0.319508,0.359,0.536,575,0.000339
-0.319169,0.384,0.447,576,0.000334
-0.318835,0.415,0.479,577,0.000334
-0.318501,0.414,0.523,578,0.000329
-0.318172,0.425,0.575,579,0.000338
-0.317834,0.498,0.649,580,0.000334
-0.317500,0.505,0.578,581,-0.000352
-0.317852,0.472,0.593,582,0.000334
-0.317518,0.477,0.605,583,0.000333
-0.317185,0.431,0.562,584,0.001021
-0.316164,0.483,0.581,585,-0.000353
-0.316517,0.484,0.551,586,0.000330
-0.316187,0.406,0.528,587,0.000338
-0.315849,0.39,0.548,588,0.001020
