2006d222_05h46m53s_Cont_mike_3C123.csv
This .csv file was written on, 2007-08-14, 09:51:47
Object, 3C123 

-0.433999,0.016025,-0.027037
-0.433665,0.030298,-0.033705
-0.433331,0.012042,-0.025056
-0.432997,-0.021246,0.012151
-0.432663,-0.044224,-0.053106
-0.432329,-0.048978,0.007843
-0.431991,-0.082539,-0.025685
-0.431657,0.006477,0.053724
-0.431328,-0.021407,0.007647
-0.430994,0.004284,-0.030979
-0.430655,0.023954,-0.011762
-0.430322,-0.001419,-0.006469
-0.429992,0.160433,0.079041
-0.429658,0.147719,0.168951
-0.429320,0.077226,0.056901
-0.428986,0.079747,0.037476
-0.428657,0.046405,0.086591
-0.428323,-0.022517,0.041008
-0.427985,-0.015705,0.141665
-0.427651,-0.015705,-0.020972
-0.427321,-0.075539,-0.038421
-0.426988,-0.063536,-0.030756
-0.426649,-0.047701,-0.008428
-0.426315,-0.017613,0.016257
-0.425986,-0.035189,-0.015486
-0.425652,-0.036616,0.012359
-0.425318,-0.054187,-0.007062
-0.424980,-0.057027,-0.033321
-0.424651,-0.019358,0.094311
-0.424317,-0.037567,0.006079
-0.423983,-0.052146,-0.019208
-0.423645,0.053043,0.013137
-0.423315,0.026062,0.020592
-0.422981,0.111304,0.152685
-0.422647,0.036702,0.015297
-0.422309,-0.046916,0.110396
-0.421980,-0.013647,0.094484
-0.421650,-0.035826,0.045142
-0.421312,-0.028539,0.061187
-0.420978,-0.004141,0.082238
-0.420644,-0.055467,-0.025298
-0.420315,-0.028539,-0.008623
-0.419976,-0.053883,0.029417
-0.419643,0.021898,-0.031557
-0.419309,-0.001611,0.031353
-0.418979,0.058558,-0.026264
-0.418641,0.014439,-0.036046
-0.418307,0.019197,-0.091449
-0.417973,-0.053253,-0.100262
-0.417644,-0.007309,-0.028001
-0.417306,-0.007309,-0.038576
-0.416972,-0.032658,-0.042101
-0.416638,-0.029806,-0.052485
-0.416309,0.025193,0.004707
-0.415975,0.065002,0.085897
-0.415636,0.029828,0.040007
-0.415302,0.015554,0.029616
-0.414973,-0.007927,0.059881
-0.414639,-0.020772,0.084824
-0.414301,0.052138,0.161027
-0.413967,0.003003,0.097195
-0.413637,-0.000167,0.079318
-0.413304,-0.012373,0.100729
-0.413652,-0.019348,0.146389
-0.413318,0.032943,0.095340
-0.412988,-0.008256,0.048631
-0.411968,0.009985,0.174684
-0.412316,0.008399,0.029218
-0.411982,0.030298,0.050396
-0.411653,-0.002698,0.137336
-0.411319,0.049617,0.200994
-0.410981,0.015854,0.039007
-0.410647,0.015854,-0.000391
-0.410317,0.028538,0.034880
-0.409984,0.073489,-0.000391
-0.409645,0.069759,0.109257
-0.409311,0.085148,0.033346
-0.408982,0.070877,0.097814
-0.408648,0.060246,0.031581
-0.408310,0.069759,0.124748
-0.407976,0.089904,0.157559
-0.407647,0.085613,0.074561
-0.407313,0.049148,0.041772
-0.406974,0.068825,0.088688
-0.406641,0.034879,0.086922
-0.406307,0.073675,0.220446
-0.405973,0.029424,0.147946
-0.405639,0.075260,0.135567
-0.405305,0.043678,-0.015680
-0.404971,-0.006220,0.042535
-0.404637,0.085594,0.084873
-0.404299,0.023857,0.164775
-0.403965,0.010383,0.125888
-0.403636,0.007219,0.154382
-0.403302,0.062316,0.152402
-0.402964,0.007690,0.121935
-0.402630,0.043321,0.172542
-0.402300,0.029894,0.089509
-0.401967,0.007724,0.053724
-0.401628,0.006612,0.023725
-0.401294,0.000279,0.080193
-0.400965,0.027197,0.168425
-0.400631,0.021334,0.135652
-0.400293,0.015000,0.119751
-0.399959,-0.000832,0.158130
-0.399629,0.000112,0.172273
-0.399296,0.025440,0.274813
-0.398962,0.042094,0.161666
-0.398623,0.057931,0.212041
-0.398294,0.002501,0.171362
-0.397960,0.035759,0.115801
-0.397626,0.023387,0.274394
-0.397292,0.026553,0.140531
-0.396959,0.016413,0.100223
-0.396625,0.008499,0.149364
-0.396291,0.013247,0.145831
-0.395957,0.029840,0.198825
-0.395623,-0.008131,0.146042
-0.395289,0.007690,0.125261
-0.394955,0.073023,0.130562
-0.394622,0.077964,0.145543
-0.394288,0.122077,0.158130
-0.393958,0.141103,0.193488
-0.393620,0.105760,0.002744
-0.393286,0.135886,0.004704
-0.392952,0.117321,0.013520
-0.392623,0.120030,-0.005876
-0.392285,0.104174,0.184522
-0.391951,0.082253,0.082163
-0.391617,0.083184,0.110607
-0.391287,0.102858,0.113929
-0.390954,0.061648,0.105312
-0.390615,0.117123,0.259125
-0.390286,0.051596,0.137125
-0.389952,0.048429,0.170291
-0.389618,0.040510,0.163220
-0.389280,0.081687,0.184433
-0.388950,0.141613,0.255143
-0.388617,0.051309,0.156149
-0.388283,0.107613,0.249850
-0.387944,0.162803,0.232819
-0.387615,0.158044,0.256719
-0.387281,0.108735,0.316916
-0.386947,0.081788,0.281506
-0.386609,0.016413,0.162581
-0.386280,0.024327,0.124006
-0.385946,0.052818,0.115694
-0.385612,0.116859,0.119224
-0.385274,0.126372,0.149226
-0.384944,0.108931,0.106870
-0.384610,0.126372,0.042135
-0.384276,-0.013514,0.066827
-0.383938,-0.013514,0.061535
-0.383609,0.042207,0.191797
-0.383275,0.056451,0.101782
-0.382941,0.037459,0.128257
-0.382603,0.060916,0.140823
-0.382955,0.049185,0.105519
-0.381939,0.143246,0.262864
-0.382292,0.054583,0.090576
-0.381267,0.081498,0.198358
-0.381620,0.077401,0.194390
-0.381290,0.060632,0.180253
-0.380956,0.117650,0.222446
-0.379932,0.082529,0.197925
-0.380284,0.112633,0.195941
-0.379955,0.158084,0.204776
-0.379621,0.126372,0.172542
-0.379283,0.129601,0.211408
-0.378949,0.115340,0.200808
-0.378619,0.075073,0.140823
-0.378285,0.138444,0.116110
-0.377261,0.120094,0.165049
-0.376927,0.117585,0.204559
-0.376593,0.122340,0.219803
-0.376259,0.137879,0.180945
-0.375921,0.160089,0.165049
-0.375587,0.191343,0.198608
-0.375258,0.240570,0.195075
-0.374924,0.280284,0.324473
-0.374586,0.210394,0.203009
-0.374252,0.118772,0.204776
-0.373922,0.118772,0.185339
-0.372902,0.115604,0.213611
-0.372564,0.092007,0.174200
-0.372230,0.050875,0.128348
-0.371901,0.061949,0.225980
-0.371567,0.063531,0.213611
-0.371233,0.060367,0.233048
-0.370895,0.076839,0.291360
-0.370565,0.128939,0.274813
-0.370231,0.152703,0.145907
-0.369897,0.160624,0.211408
-0.369559,0.216747,0.169493
-0.369230,0.227853,0.215397
-0.368896,0.188188,0.218491
-0.368562,0.120492,0.199290
-0.368224,0.144733,0.178106
-0.367894,0.124125,0.201056
-0.367560,0.142688,0.193994
-0.367227,0.185950,0.225771
-0.366893,0.221053,0.148095
-0.366559,0.207004,0.108428
-0.366229,0.192729,0.143299
-0.365891,0.226038,0.145063
-0.365557,0.224452,0.279147
-0.365223,0.178454,0.289409
-0.364894,0.223999,0.285873
-0.364556,0.214706,0.298251
-0.364222,0.195666,0.225541
-0.363888,0.248027,0.324473
-0.363559,0.189319,0.239674
-0.363220,0.149282,0.236141
-0.362886,0.169885,0.277899
-0.362552,0.237603,0.274364
-0.362223,0.299496,0.287784
-0.361885,0.258234,0.211866
-0.361551,0.248712,0.194210
-0.361217,0.231026,0.155861
-0.360888,0.180738,0.144852
-0.360554,0.212452,0.247169
-0.360216,0.173755,0.175749
-0.359882,0.161082,0.155437
-0.359552,0.170587,0.243646
-0.359218,0.125369,0.233713
-0.358880,0.228525,0.312792
-0.358546,0.203167,0.339300
-0.358217,0.160204,0.291586
-0.357883,0.147537,0.203472
-0.357545,0.180092,0.249386
-0.357211,0.119298,0.261747
-0.356881,0.229200,0.307661
-0.356547,0.248677,0.289819
-0.356209,0.251867,0.305952
-0.355875,0.259797,0.305724
-0.355546,0.236007,0.314560
-0.355212,0.281310,0.422599
-0.354874,0.208598,0.350369
-0.354540,0.237131,0.394925
-0.354210,0.222865,0.371925
-0.353877,0.216524,0.386079
-0.353538,0.278344,0.278473
-0.353204,0.263418,0.227325
-0.352875,0.225807,0.213216
-0.352541,0.206791,0.097776
-0.352203,0.241654,0.248499
-0.351869,0.216299,0.353808
-0.351540,0.187774,0.229082
-0.351206,0.211315,0.225551
-0.350867,0.324509,0.244968
-0.350534,0.294334,0.262397
-0.350890,0.308628,0.283577
-0.349870,0.277933,0.269457
-0.350218,0.248911,0.255337
-0.349884,0.245740,0.288688
-0.349551,0.249128,0.293987
-0.349217,0.232368,0.325780
-0.348883,0.309352,0.481661
-0.348544,0.269522,0.343443
-0.348215,0.242788,0.487913
-0.347881,0.220601,0.459593
-0.347547,0.264316,0.388309
-0.347209,0.225352,0.415621
-0.346880,0.188924,0.398910
-0.346546,0.182828,0.397143
-0.346212,0.261595,0.400677
-0.345874,0.253197,0.404925
-0.345544,0.262705,0.472085
-0.345210,0.262705,0.427901
-0.344876,0.276966,0.335454
-0.344538,0.251613,0.346047
-0.344209,0.222637,0.259072
-0.343875,0.243225,0.319039
-0.343541,0.226708,0.272286
-0.343203,0.248876,0.256419
-0.342873,0.225125,0.258182
-0.342544,0.214494,0.274273
-0.342206,0.356983,0.419482
-0.341872,0.320509,0.449487
-0.341538,0.293795,0.357142
-0.341208,0.172446,0.357142
-0.340870,0.195275,0.354682
-0.340536,0.187361,0.315904
-0.340202,0.306129,0.438173
-0.339873,0.274452,0.387004
-0.339535,0.233271,0.346421
-0.339201,0.307072,0.418674
-0.338867,0.365003,0.446129
-0.338538,0.317720,0.533692
-0.338204,0.274933,0.425893
-0.337865,0.260671,0.384303
-0.337532,0.286026,0.367000
-0.337202,0.292365,0.336907
-0.336868,0.317468,0.419093
-0.336530,0.317720,0.339280
-0.336196,0.366324,0.304874
-0.335867,0.342528,0.353848
-0.335533,0.331983,0.346795
-0.335195,0.327229,0.482530
-0.334861,0.343076,0.478709
-0.334531,0.327229,0.491279
-0.334197,0.404675,0.498348
-0.333859,0.372937,0.497852
-0.333525,0.416934,0.515521
-0.333196,0.360243,0.494319
-0.332862,0.290579,0.425497
-0.332524,0.306432,0.429509
-0.332190,0.360243,0.438339
-0.331860,0.376111,0.416430
-0.331526,0.485508,0.548833
-0.331188,0.474385,0.439380
-0.330854,0.458495,0.485279
-0.330525,0.406538,0.439380
-0.330191,0.401938,0.421487
-0.329853,0.438876,0.515041
-0.329519,0.358042,0.567797
-0.329190,0.348532,0.455998
-0.328856,0.361212,0.448934
-0.328517,0.351702,0.464828
-0.328183,0.351881,0.575849
-0.327854,0.358219,0.482487
-0.327520,0.347128,0.512236
-0.327182,0.351881,0.473167
-0.326848,0.329699,0.519804
-0.326519,0.383570,0.595544
-0.326185,0.327927,0.563734
-0.325846,0.366058,0.535459
-0.325513,0.386676,0.528390
-0.325183,0.364472,0.514253
-0.324849,0.469598,0.572570
-0.324511,0.429498,0.493365
-0.324177,0.461661,0.358805
-0.323843,0.385967,0.399325
-0.323514,0.406581,0.569546
-0.323175,0.385696,0.489057
-0.322837,0.474471,0.607349
-0.322508,0.368870,0.520837
-0.322174,0.411060,0.522602
-0.321840,0.368258,0.524368
-0.321502,0.384110,0.502933
-0.321172,0.439595,0.555133
-0.320838,0.406304,0.465672
-0.320505,0.305630,0.462144
-0.320166,0.307213,0.455880
-0.319837,0.353120,0.475275
-0.319508,0.359452,0.536228
-0.319169,0.384110,0.447064
-0.318835,0.415381,0.478801
-0.318501,0.414074,0.522617
-0.318172,0.424893,0.574825
-0.317834,0.497569,0.649087
-0.317500,0.504522,0.578384
-0.317852,0.472184,0.592525
-0.317518,0.476943,0.605416
-0.317185,0.430933,0.561953
-0.316164,0.482695,0.580865
-0.316517,0.483554,0.551351
-0.316187,0.405751,0.528411
-0.315849,0.390345,0.547822
-0.314829,0.415693,0.506764
-0.315181,0.428367,0.527920
-0.314852,0.488739,0.635335
-0.314518,0.463959,0.595247
-0.314180,0.484578,0.550598
-0.313846,0.456028,0.547067
-0.313516,0.509957,0.562956
-0.313183,0.530576,0.503762
-0.312158,0.513129,0.475568
-0.311824,0.509529,0.471015
-0.311495,0.465114,0.627814
-0.311161,0.492080,0.617216
-0.310823,0.498425,0.643710
-0.310489,0.487321,0.597787
-0.310159,0.586037,0.637170
-0.309826,0.551082,0.631870
-0.309487,0.502203,0.618722
-0.309153,0.543469,0.761269
-0.308824,0.528875,0.522131
-0.307804,0.560609,0.475079
-0.307466,0.484841,0.532707
-0.307132,0.410108,0.493929
-0.306802,0.543486,0.569722
-0.306468,0.505446,0.626708
-0.306130,0.465098,0.703612
-0.305796,0.493623,0.568488
-0.305467,0.594585,0.540259
-0.305133,0.600935,0.650590
-0.304795,0.666787,0.739090
-0.304461,0.587394,0.586130
-0.304131,0.598509,0.512323
-0.303797,0.611212,0.710829
-0.303459,0.545590,0.542024
-0.303125,0.531427,0.702456
-0.302791,0.502881,0.730122
-0.302462,0.540831,0.700077
-0.302124,0.536071,0.622717
-0.301790,0.493366,0.645665
-0.301456,0.542528,0.749811
-0.301127,0.498503,0.626908
-0.300788,0.503380,0.614566
-0.300454,0.471122,0.620375
-0.300121,0.475870,0.657937
-0.299791,0.549619,0.714382
-0.299453,0.494307,0.576798
-0.299119,0.516355,0.627491
-0.298785,0.617229,0.608078
-0.298451,0.510019,0.616902
-0.298117,0.645803,0.713012
-0.297779,0.645803,0.727134
-0.297450,0.583760,0.663581
-0.297116,0.626578,0.695626
-0.296782,0.574245,0.676205
-0.296444,0.521532,0.603728
-0.296114,0.647194,0.654855
-0.295780,0.553419,0.600203
-0.295447,0.539379,0.561417
-0.295108,0.555110,0.757183
-0.294779,0.577192,0.705918
-0.294445,0.559863,0.856176
-0.294111,0.578874,0.735689
-0.293773,0.548773,0.702841
-0.293443,0.634584,0.739894
-0.293109,0.581299,0.706370
-0.292776,0.589219,0.755774
-0.292437,0.597976,0.734468
-0.292108,0.563134,0.720344
-0.291774,0.577388,0.715047
-0.291440,0.608889,0.707985
-0.291106,0.643755,0.820980
-0.290772,0.532816,0.740167
-0.290439,0.512151,0.717226
-0.290105,0.516901,0.721708
-0.289766,0.501068,0.815601
-0.289437,0.589312,0.884500
-0.289108,0.607722,0.815601
-0.288769,0.628660,0.702688
-0.288435,0.708122,0.718578
-0.288788,0.698598,0.710707
-0.287772,0.665398,0.754832
-0.287434,0.734864,0.832492
-0.287100,0.655263,0.737182
-0.287452,0.621984,0.770055
-0.287123,0.612561,0.814676
-0.286103,0.614145,0.747100
-0.285765,0.669590,0.750726
-0.286117,0.640661,0.823027
-0.285787,0.645414,0.843017
-0.285454,0.635493,0.692572
-0.285115,0.688073,0.684457
-0.284781,0.708684,0.795061
-0.284452,0.680146,0.710463
-0.284118,0.665877,0.694601
-0.283780,0.699171,0.698126
-0.283446,0.695945,0.724424
-0.283117,0.753041,0.786425
-0.282783,0.657881,0.733242
-0.282444,0.672440,0.750877
-0.282111,0.654709,0.805738
-0.281781,0.641266,0.815403
-0.281447,0.739094,0.881583
-0.281109,0.693594,0.874520
-0.280775,0.709451,0.795053
-0.280446,0.733195,0.876285
-0.280112,0.698297,0.816326
-0.279774,0.730022,0.812517
-0.279440,0.749058,0.886919
-0.279110,0.724130,0.823027
-0.278776,0.713848,0.818091
-0.278438,0.768526,0.794592
-0.278104,0.727301,0.868936
-0.277775,0.733644,0.921033
-0.277441,0.809264,0.852191
-0.277103,0.779070,0.906860
-0.276769,0.696355,0.875048
-0.276439,0.716971,0.845130
-0.276105,0.740759,0.978132
-0.275767,0.756246,0.935733
-0.275433,0.738400,0.844847
-0.275104,0.759013,0.914533
-0.274770,0.785967,0.909233
-0.274432,0.800237,1.027648
-0.274098,0.724130,0.947216
-0.273768,0.722499,0.929836
-0.273435,0.624899,0.926009
-0.273096,0.670826,0.924534
-0.272762,0.790703,1.012903
-0.272433,0.768497,0.982858
-0.272099,0.863280,0.908072
-0.271761,0.845818,0.923366
-0.271427,0.837487,0.913951
-0.271093,0.716802,0.899242
-0.270764,0.738966,0.973411
-0.270425,0.688011,0.845542
-0.270087,0.713325,0.840252
-0.269758,0.695922,0.856121
-0.269424,0.859306,0.863173
-0.269090,0.876758,1.032595
-0.268752,0.877951,0.960170
-0.268422,0.890674,0.938092
-0.268088,0.830349,0.902774
-0.267755,0.798269,0.928094
-0.267416,0.787173,1.011058
-0.267087,0.785588,0.957518
-0.266757,0.801439,0.959283
-0.266419,0.790343,0.976943
-0.266081,0.748023,0.977537
-0.265751,0.904925,1.092345
-0.265422,0.751191,0.995200
-0.265084,0.771781,0.984602
-0.264750,0.868832,0.977537
-0.264416,0.862484,0.888108
-0.264086,0.913272,0.976331
-0.263748,0.879942,1.068920
-0.263414,0.879920,0.933984
-0.263080,0.825208,1.080145
-0.262751,0.857716,1.078377
-0.262413,0.852958,1.054709
-0.262079,0.900538,1.002730
-0.261745,0.828792,0.941051
-0.261416,0.891022,0.930185
-0.261077,0.936239,0.924899
-0.260743,0.844636,0.923137
-0.260410,0.885831,1.054511
-0.260080,0.966378,0.932814
-0.259742,0.866818,0.956037
-0.259408,0.885831,0.964857
-0.259074,0.809422,1.017516
-0.258745,0.921104,1.141053
-0.258406,0.895747,1.013986
-0.258072,0.880696,1.129237
-0.257743,0.852956,1.126641
-0.257409,0.935850,1.119570
-0.257071,0.988202,1.180485
-0.256737,0.926665,1.118634
-0.256403,0.909229,1.059635
-0.256074,0.894962,1.071995
-0.255735,0.913570,1.091418
-0.255402,0.956783,1.096715
-0.255072,0.997444,1.118840
-0.255425,0.910032,1.072916
-0.254400,0.908447,1.066698
-0.254066,0.989506,1.050196
-0.254419,0.921546,1.074911
-0.254089,0.905276,1.063635
-0.253065,0.905687,1.023065
-0.253417,0.897758,1.081973
-0.253083,0.931061,1.108242
-0.252754,0.920766,1.094112
-0.252415,0.952489,1.191257
-0.252082,0.953650,1.160097
-0.251752,0.858886,1.204582
